Lot.Area,Year.Built,X1st.Flr.SF,X2nd.Flr.SF,Gr.Liv.Area,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,TotRms.AbvGrd,Fireplaces,Garage.Area,Pool.Area
31770,1960,1656,0,1656,1,0,3,1,7,2,528,0
11622,1961,896,0,896,1,0,2,1,5,0,730,0
14267,1958,1329,0,1329,1,1,3,1,6,0,312,0
11160,1968,2110,0,2110,2,1,3,1,8,2,522,0
13830,1997,928,701,1629,2,1,3,1,6,1,482,0
9978,1998,926,678,1604,2,1,3,1,7,1,470,0
4920,2001,1338,0,1338,2,0,2,1,6,0,582,0
5005,1992,1280,0,1280,2,0,2,1,5,0,506,0
5389,1995,1616,0,1616,2,0,2,1,5,1,608,0
7500,1999,1028,776,1804,2,1,3,1,7,1,442,0
10000,1993,763,892,1655,2,1,3,1,7,1,440,0
7980,1992,1187,0,1187,2,0,3,1,6,0,420,0
8402,1998,789,676,1465,2,1,3,1,7,1,393,0
10176,1990,1341,0,1341,1,1,2,1,5,1,506,0
6820,1985,1502,0,1502,1,1,1,1,4,0,528,0
53504,2003,1690,1589,3279,3,1,4,1,12,1,841,0
12134,1988,1080,672,1752,2,0,4,1,8,0,492,0
11394,2010,1856,0,1856,1,1,1,1,8,1,834,0
19138,1951,864,0,864,1,0,2,1,4,0,400,0
13175,1978,2073,0,2073,2,0,3,1,7,2,500,0
11751,1977,1844,0,1844,2,0,3,1,7,1,546,0
10625,1974,1173,0,1173,2,0,3,1,6,2,528,0
7500,2000,814,860,1674,2,1,3,1,7,0,663,0
11241,1970,1004,0,1004,1,0,2,1,5,1,480,0
12537,1971,1078,0,1078,1,1,3,1,6,1,500,0
8450,1968,1056,0,1056,1,0,3,1,6,1,304,0
8400,1970,882,0,882,1,0,2,1,4,0,525,0
10500,1971,864,0,864,1,0,3,1,5,1,0,0
5858,1999,1337,0,1337,2,0,2,1,5,1,511,0
1680,1971,483,504,987,1,1,2,1,5,0,264,0
1680,1971,525,567,1092,1,1,3,1,6,0,320,0
1680,1971,525,567,1092,1,1,3,1,6,0,264,0
4043,1977,1069,0,1069,2,0,2,1,4,1,440,0
2280,1975,855,601,1456,2,1,3,1,6,1,440,0
2280,1975,836,0,836,1,0,2,1,4,0,308,0
2280,1978,855,601,1456,2,1,3,1,7,1,440,0
12858,2009,1627,707,2334,2,1,3,1,10,1,751,0
11478,2007,1704,0,1704,2,0,3,1,7,1,772,0
10159,2009,1940,0,1940,2,1,3,1,8,1,606,0
12883,2009,1544,0,1544,2,0,3,1,7,0,868,0
12182,2005,1541,0,1541,2,0,3,1,7,1,532,0
11520,2005,1698,0,1698,2,0,3,1,7,1,730,0
14122,2005,1822,0,1822,2,0,3,1,8,1,678,0
10171,2004,1535,0,1535,2,0,3,1,7,0,532,0
12919,2009,2364,0,2364,2,1,2,1,11,2,820,0
6371,2009,1358,0,1358,2,0,2,1,6,1,484,0
14300,2003,2696,0,2696,2,1,3,1,10,2,958,0
13650,2002,1687,563,2250,2,1,3,1,7,1,756,0
7658,2005,1752,0,1752,2,0,2,1,6,1,576,0
7132,2006,1370,0,1370,2,0,2,1,6,1,484,0
2628,2003,764,862,1626,2,1,2,1,6,0,474,0
18494,2005,1324,0,1324,2,0,3,1,6,0,430,0
3203,2006,1145,0,1145,2,0,2,1,6,0,437,0
3182,2004,1269,0,1269,2,0,2,1,6,1,430,0
13300,2004,744,630,1374,2,1,3,1,7,1,400,0
7851,2002,860,1100,1960,2,1,4,1,8,2,440,0
8577,2004,847,886,1733,2,1,3,1,7,1,433,0
7750,2000,774,656,1430,2,1,3,1,7,1,400,0
9505,2001,884,1151,2035,2,1,3,1,8,1,434,0
14774,1999,1422,1177,2599,2,1,4,1,10,1,779,0
17433,1998,1645,830,2475,2,1,4,1,7,1,962,0
10593,1996,1720,0,1720,2,0,3,1,7,1,527,0
12256,1994,1500,1122,2622,2,1,3,1,9,2,712,0
11764,1999,1164,1106,2270,2,1,4,1,9,1,671,0
16770,1998,1195,644,1839,2,1,4,1,7,0,486,0
14720,1995,2053,1185,3238,2,1,4,1,9,1,666,0
8987,2005,1595,0,1595,2,0,2,1,6,1,880,0
9215,2009,1218,0,1218,2,0,2,1,4,0,676,0
8640,2009,764,783,1547,2,1,3,1,7,0,614,0
9000,2008,1566,0,1566,2,0,3,1,7,0,750,0
12552,2004,991,956,1947,2,1,3,1,8,1,678,0
10440,2005,1468,0,1468,2,0,2,1,6,1,528,0
10142,2004,956,1128,2084,2,1,4,1,8,0,618,0
11920,2004,831,828,1659,2,1,3,1,8,0,484,0
8880,1994,1222,888,2110,2,1,3,1,8,2,463,0
8012,1980,923,0,923,2,0,2,1,5,1,264,0
11218,1992,1055,790,1845,2,1,3,1,8,1,462,0
7892,1979,918,0,918,2,0,2,1,5,1,264,0
7175,1984,752,0,752,1,0,2,1,4,0,264,0
9453,1993,1014,730,1744,2,1,3,1,7,0,457,0
9672,1984,1097,0,1097,2,0,3,1,6,0,480,0
8400,1980,888,676,1564,2,1,3,1,7,1,476,0
9800,1920,1012,0,1012,1,0,2,1,5,0,429,0
8930,1978,1318,584,1902,2,0,4,2,8,0,539,0
11782,1961,1155,0,1155,1,0,3,1,6,0,576,0
8450,1965,894,0,894,1,0,3,1,5,1,336,0
9819,1967,900,0,900,1,0,3,1,5,0,280,0
7500,1963,1040,0,1040,1,1,3,1,5,0,308,0
6897,1962,1040,0,1040,1,1,3,1,6,0,260,0
15410,1974,1494,0,1494,2,0,3,1,7,2,461,0
10186,1992,1061,862,1923,2,1,3,1,8,1,564,0
13143,1993,1251,1098,2349,2,1,4,1,9,1,762,0
11134,1992,1402,823,2225,2,1,4,1,7,1,713,0
4835,2004,1488,0,1488,2,0,2,1,6,1,506,0
3515,2004,840,840,1680,2,1,2,1,3,0,588,0
3215,2004,600,600,1200,2,1,2,1,4,0,480,0
3182,2004,600,600,1200,2,1,2,1,4,0,480,0
2544,2004,600,600,1200,2,1,2,1,4,0,480,0
2544,2005,600,636,1236,2,1,2,1,4,0,480,0
4403,2009,1478,0,1478,2,1,2,1,7,1,484,0
2117,2000,769,804,1573,2,1,3,1,5,0,440,0
2980,2000,756,756,1512,2,1,2,1,5,0,440,0
2572,1999,696,720,1416,2,1,3,1,6,0,484,0
2403,2003,530,550,1080,2,1,2,1,4,0,496,0
12853,2010,1418,0,1418,1,1,1,1,6,1,852,0
7379,2000,975,873,1848,2,1,3,1,7,1,592,0
4420,1980,788,0,788,1,0,1,1,3,1,484,0
3880,1978,1226,0,1226,1,0,1,1,4,1,484,0
13517,1976,725,754,1479,2,1,3,1,6,0,475,0
8000,2002,1492,0,1492,2,0,3,1,6,1,596,0
10456,1967,1829,0,1829,2,0,4,1,8,0,535,0
10791,1993,1280,1215,2495,2,1,4,1,9,1,660,0
10603,1977,1610,0,1610,2,0,3,1,6,2,480,0
18837,1978,1287,604,1891,3,0,3,1,7,1,678,0
10421,1988,980,734,1714,2,1,3,1,7,1,496,0
9360,1972,1381,0,1381,1,1,3,1,5,1,676,0
9600,1971,930,715,1645,1,2,4,1,7,0,441,0
9600,1966,1232,0,1232,1,1,3,1,6,0,490,0
9790,1963,1328,0,1328,1,1,3,1,6,2,528,0
9320,1959,1225,0,1225,1,1,3,1,6,0,0,0
9900,1966,1209,0,1209,1,0,3,1,6,0,504,0
9680,1967,1510,0,1510,2,0,3,1,6,0,517,0
10600,1964,1131,644,1775,2,0,3,1,8,0,480,0
14112,1964,1152,0,1152,1,0,3,1,6,1,484,0
8800,1963,1054,0,1054,1,0,3,1,6,0,480,0
13260,1962,1728,0,1728,2,0,6,2,10,0,0,0
9717,1950,1078,0,1078,1,0,2,1,5,0,240,0
9724,1952,1929,532,2461,2,0,3,1,7,2,400,0
17360,1949,1019,537,1556,2,0,3,1,6,1,470,0
7207,1958,858,0,858,1,0,2,1,4,0,0,0
5350,1940,1306,0,1306,1,0,3,1,6,0,0,0
9920,1954,1063,0,1063,1,0,3,1,6,0,280,0
9600,1955,1520,0,1520,1,0,3,1,7,2,364,0
7800,1954,1268,0,1268,1,0,2,1,7,1,244,0
11380,1966,1128,0,1128,1,0,2,1,5,1,315,0
11600,1960,1105,1169,2274,2,0,5,2,12,0,480,0
19900,1970,2207,0,2207,2,0,3,1,7,1,576,0
16492,1966,1888,0,1888,2,1,2,1,6,1,578,0
8267,1958,1604,0,1604,2,0,4,2,8,0,576,0
8197,2003,1480,0,1480,2,0,3,1,7,0,620,0
8050,1959,1143,0,1143,1,0,3,1,6,0,308,0
10552,1959,1700,0,1700,1,1,4,1,6,1,447,0
8400,1957,1314,0,1314,1,0,3,1,5,0,294,0
8760,1959,1194,0,1194,1,0,3,1,6,0,312,0
12160,1959,1188,0,1188,1,0,3,1,6,0,531,0
9300,1960,1264,0,1264,1,0,3,1,6,2,461,0
10725,1959,1206,0,1206,1,0,3,1,6,0,312,0
10032,1959,1580,0,1580,1,1,3,1,6,2,440,0
8382,1956,832,505,1337,1,0,3,1,5,0,263,0
10950,1952,1064,0,1064,1,0,2,1,4,0,318,0
10895,1955,972,0,972,1,0,3,1,5,0,305,0
13587,1958,988,0,988,1,0,2,1,5,0,264,0
7922,1953,1057,0,1057,1,0,3,1,5,0,246,0
7898,1920,985,0,985,1,0,2,1,4,0,676,0
7200,1955,827,0,827,1,0,2,1,5,1,392,0
10200,1954,1086,0,1086,1,0,3,1,6,0,490,0
5868,1956,936,0,936,1,0,2,1,4,0,308,0
17503,1948,912,546,1458,1,0,3,1,6,1,330,0
6979,1980,1056,0,1056,0,0,0,2,4,0,576,0
