price,MS.Zoning,Lot.Area,Utilities,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Year.Built,Year.Remod.Add,Exterior.1st,Exter.Qual,Exter.Cond,Foundation,BsmtFin.Type.1,BsmtFin.SF.1,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Garage.Type,Garage.Cars,Garage.Area,Garage.Qual,Wood.Deck.SF,Fence
215000,5,31770,4,0,2,6,5,1960,1960,3,3,3,1,4,639.0,1080.0,1,2,1,5,1656,0,1,0,3,1,3,7,1,2.0,528.0,3,210,0
105000,4,11622,4,0,2,5,6,1961,1961,13,3,3,1,3,468.0,882.0,1,3,1,5,896,0,1,0,2,1,3,5,1,1.0,730.0,3,140,3
172000,5,14267,4,0,2,6,6,1958,1958,14,3,3,1,5,923.0,1329.0,1,3,1,5,1329,0,1,1,3,1,4,6,1,1.0,312.0,3,393,0
244000,5,11160,4,0,2,7,5,1968,1968,3,4,3,1,5,1065.0,2110.0,1,5,1,5,2110,0,2,1,3,1,5,8,1,2.0,522.0,3,0,0
189900,5,13830,4,0,5,5,5,1997,1998,13,3,3,2,6,791.0,928.0,1,4,1,5,928,701,2,1,3,1,3,6,1,2.0,482.0,3,212,3
195500,5,9978,4,0,5,6,6,1998,1998,13,3,3,2,6,602.0,926.0,1,5,1,5,926,678,2,1,3,1,4,7,1,2.0,470.0,3,360,0
213500,5,4920,4,4,2,8,5,2001,2001,5,4,3,2,6,616.0,1338.0,1,5,1,5,1338,0,2,0,2,1,4,6,1,2.0,582.0,3,0,0
191500,5,5005,4,4,2,8,5,1992,1992,6,4,3,2,5,263.0,1280.0,1,5,1,5,1280,0,2,0,2,1,4,5,1,2.0,506.0,3,0,0
236500,5,5389,4,4,2,8,5,1995,1996,5,4,3,2,6,1180.0,1595.0,1,5,1,5,1616,0,2,0,2,1,4,5,1,2.0,608.0,3,237,0
189000,5,7500,4,0,5,7,5,1999,1999,13,3,3,2,1,0.0,994.0,1,4,1,5,1028,776,2,1,3,1,4,7,1,2.0,442.0,3,140,0
