price,area,MS.Zoning,Lot.Area,Utilities,Neighborhood,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Year.Built,Year.Remod.Add,Exterior.1st,Exter.Qual,Exter.Cond,Foundation,BsmtFin.Type.1,BsmtFin.SF.1,Total.Bsmt.SF,Heating,Heating.QC,Central.Air,Electrical,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Garage.Type,Garage.Cars,Garage.Area,Garage.Qual,Wood.Deck.SF,Fence
215000,1656,5,31770,4,15,0,2,6,5,1960,1960,3,3,3,1,4,639,1080,1,2,1,5,1,0,3,1,3,7,1,2,528,3,210,0
105000,896,4,11622,4,15,0,2,5,6,1961,1961,13,3,3,1,3,468,882,1,3,1,5,1,0,2,1,3,5,1,1,730,3,140,3
172000,1329,5,14267,4,15,0,2,6,6,1958,1958,14,3,3,1,5,923,1329,1,3,1,5,1,1,3,1,4,6,1,1,312,3,393,0
244000,2110,5,11160,4,15,0,2,7,5,1968,1968,3,4,3,1,5,1065,2110,1,5,1,5,2,1,3,1,5,8,1,2,522,3,0,0
189900,1629,5,13830,4,8,0,5,5,5,1997,1998,13,3,3,2,6,791,928,1,4,1,5,2,1,3,1,3,6,1,2,482,3,212,3
195500,1604,5,9978,4,8,0,5,6,6,1998,1998,13,3,3,2,6,602,926,1,5,1,5,2,1,3,1,4,7,1,2,470,3,360,0
213500,1338,5,4920,4,25,4,2,8,5,2001,2001,5,4,3,2,6,616,1338,1,5,1,5,2,0,2,1,4,6,1,2,582,3,0,0
191500,1280,5,5005,4,25,4,2,8,5,1992,1992,6,4,3,2,5,263,1280,1,5,1,5,2,0,2,1,4,5,1,2,506,3,0,0
236500,1616,5,5389,4,25,4,2,8,5,1995,1996,5,4,3,2,6,1180,1595,1,5,1,5,2,0,2,1,4,5,1,2,608,3,237,0
189000,1804,5,7500,4,8,0,5,7,5,1999,1999,13,3,3,2,1,0,994,1,4,1,5,2,1,3,1,4,7,1,2,442,3,140,0
175900,1655,5,10000,4,8,0,5,6,5,1993,1994,6,3,3,2,1,0,763,1,4,1,5,2,1,3,1,3,7,1,2,440,3,157,0
185000,1187,5,7980,4,8,0,2,6,7,1992,2007,6,3,4,2,5,935,1168,1,5,1,5,2,0,3,1,3,6,1,2,420,3,483,4
180400,1465,5,8402,4,8,0,5,6,5,1998,1998,13,3,3,2,1,0,789,1,4,1,5,2,1,3,1,3,7,1,2,393,3,0,0
171500,1341,5,10176,4,8,0,2,7,5,1990,1990,6,3,3,2,6,637,1300,1,4,1,5,1,1,2,1,4,5,1,2,506,3,192,0
212000,1502,5,6820,4,25,4,2,8,5,1985,1985,6,4,3,2,6,368,1488,1,3,1,5,1,1,1,1,4,4,1,2,528,3,0,0
